Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,061428,2016,11,19,28.0
IDCJAC0016,061428,2016,11,20,24.4
IDCJAC0016,061428,2016,11,21,24.8
IDCJAC0016,061428,2016,11,22,30.2
IDCJAC0016,061428,2016,11,23,23.8
IDCJAC0016,061428,2016,11,24,30.7
IDCJAC0016,061428,2016,11,25,28.4
IDCJAC0016,061428,2016,11,26,29.2
IDCJAC0016,061428,2016,11,27,24.3
IDCJAC0016,061428,2016,11,28,26.9
IDCJAC0016,061428,2016,11,29,26.7
IDCJAC0016,061428,2016,11,30,24.9
IDCJAC0016,061428,2016,12,01,20.1
IDCJAC0016,061428,2016,12,02,27.7
IDCJAC0016,061428,2016,12,03,24.2
IDCJAC0016,061428,2016,12,04,23.7
IDCJAC0016,061428,2016,12,05,19.3
IDCJAC0016,061428,2016,12,06,12.0
IDCJAC0016,061428,2016,12,07,19.5
IDCJAC0016,061428,2016,12,08,25.1
IDCJAC0016,061428,2016,12,09,31.6
IDCJAC0016,061428,2016,12,10,29.8
IDCJAC0016,061428,2016,12,11,30.0
IDCJAC0016,061428,2016,12,12,28.3
IDCJAC0016,061428,2016,12,13,31.3
IDCJAC0016,061428,2016,12,14,25.2
IDCJAC0016,061428,2016,12,15,1.6
IDCJAC0016,061428,2016,12,16,10.8
IDCJAC0016,061428,2016,12,17,30.0
IDCJAC0016,061428,2016,12,18,14.2
IDCJAC0016,061428,2016,12,19,28.7
IDCJAC0016,061428,2016,12,20,31.3
IDCJAC0016,061428,2016,12,21,29.9
IDCJAC0016,061428,2016,12,22,12.4
IDCJAC0016,061428,2016,12,23,29.6
IDCJAC0016,061428,2016,12,24,21.4
IDCJAC0016,061428,2016,12,25,24.0
IDCJAC0016,061428,2016,12,26,31.4
IDCJAC0016,061428,2016,12,27,29.8
IDCJAC0016,061428,2016,12,28,31.5
IDCJAC0016,061428,2016,12,29,31.5
IDCJAC0016,061428,2016,12,30,29.9
IDCJAC0016,061428,2016,12,31,24.6
IDCJAC0016,061428,2017,01,01,11.3
IDCJAC0016,061428,2017,01,02,13.6
IDCJAC0016,061428,2017,01,03,25.3
IDCJAC0016,061428,2017,01,04,17.6
IDCJAC0016,061428,2017,01,05,24.7
IDCJAC0016,061428,2017,01,06,21.0
IDCJAC0016,061428,2017,01,07,29.3
IDCJAC0016,061428,2017,01,08,30.3
IDCJAC0016,061428,2017,01,09,31.5
IDCJAC0016,061428,2017,01,10,22.8
IDCJAC0016,061428,2017,01,11,22.4
IDCJAC0016,061428,2017,01,12,21.1
IDCJAC0016,061428,2017,01,13,31.0
IDCJAC0016,061428,2017,01,14,16.3
IDCJAC0016,061428,2017,01,15,6.0
IDCJAC0016,061428,2017,01,16,28.7
IDCJAC0016,061428,2017,01,17,28.8
IDCJAC0016,061428,2017,01,18,25.0
IDCJAC0016,061428,2017,01,19,6.0
IDCJAC0016,061428,2017,01,20,11.1
IDCJAC0016,061428,2017,01,21,17.3
IDCJAC0016,061428,2017,01,22,29.8
IDCJAC0016,061428,2017,01,23,30.3
IDCJAC0016,061428,2017,01,24,22.6
IDCJAC0016,061428,2017,01,25,4.6
IDCJAC0016,061428,2017,01,26,5.0
IDCJAC0016,061428,2017,01,27,16.8
IDCJAC0016,061428,2017,01,28,29.6
IDCJAC0016,061428,2017,01,29,24.5
IDCJAC0016,061428,2017,01,30,28.6
